Год,Категория,Зарплата,Кумулятивный_ИПЦ,Реальная зарплата,Базовая зарплата
2021,Производство машин и оборудования,53730.4,7.4344507109692985,7227.218538246879,12217.36313592151
2021,"Производство электрооборудования, электронного и оптического оборудования",57825.9,7.4344507109692985,7778.099855404206,12392.400536188094
2021,Производство транспортных средств и оборудования,56512.600000000006,7.4344507109692985,7601.449279449447,15178.773286014773
2021,Прочие производства,45889.3,7.4344507109692985,6172.520578055858,12699.179866690652
2021,"Производство и распределение электроэнергии, газа и воды",48921.4,7.4344507109692985,6580.3651005202055,19523.164450228447
2021,Строительство,51944.2,7.4344507109692985,6986.958689948399,16327.340255255207
2021,"Оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования",50388.8,7.4344507109692985,6777.743502375086,9800.238894784405
2021,Гостиницы и рестораны,33224.7,7.4344507109692985,4469.018800673195,10143.510121455616
2021,Транспорт и связь,77912.85,7.4344507109692985,10479.973979118866,19917.153227506937
2021,Из них связь,,7.4344507109692985,,17808.045330301833
2021,Финансовая деятельность,130223.3,7.4344507109692985,17516.196564173813,32361.508327731754
2021,"Операции с недвижимым имуществом, аренда и предоставление услуг",43620.3,7.4344507109692985,5867.3198190203375,15194.854460597568
2021,Государственное управление и обеспечение военной безопасности; социальное страхование,58620.3,7.4344507109692985,7884.9537482987935,16774.520609999865
2021,Образование,43390.5,7.4344507109692985,5836.409667223791,7670.720275993449
2021,Здравоохранение и предоставление социальных услуг,50690.1,7.4344507109692985,6818.271042567859,8246.550027400472
2021,"Предоставление прочих коммунальных, социальных и персональных услуг",53340.3,7.4344507109692985,7174.746605192777,9574.483943910545
2021,"Производство лекарственных средств и материалов, применяемых в медицинских целях",79568.2,7.4344507109692985,10702.633334107604,66298.73899178093
2021,"Деятельность профессиональная,научная и техническая",87329.4,7.4344507109692985,11746.584030902002,69863.20571792603
2021,Деятельность административная и сопутствующие дополнительные услуги,39225.1,7.4344507109692985,5276.126175956026,33748.98628053918
2022,"Сельское хозяйство, охота и лесное хозяйство",45160.45,8.32063723571684,5427.5230034240685,6819.184476626172
2022,"Рыболовство, рыбоводство",121726.2,8.32063723571684,14629.432404225354,19698.174141394207
2022,Добыча топливно-энергетических полезных ископаемых,128170.15,8.32063723571684,15403.886309310765,107445.20723370324
2022,"Добыча полезных ископаемых, кроме топливно-энергетических",108316.6,8.32063723571684,13017.825069340175,41120.007743431925
2022,Обрабатывающие производства,60438.7,8.32063723571684,7263.710493297703,16372.688177967944
2022,"Производство пищевых продуктов, включая напитки, и табака",77387.03333333334,8.32063723571684,9300.613780053385,74127.34006560517
2022,Текстильное и швейное производство,33030.55,8.32063723571684,3969.7139851518064,8409.243023251927
2022,"Производство кожи, изделий из кожи и производство обуви",36445.0,8.32063723571684,4380.07318039989,27613.53579401947
2022,Обработка древесины и производство изделий из дерева,40464.4,8.32063723571684,4863.137143667808,12038.619148614938
2022,Целлюлозно-бумажное производство; издательская и полиграфическая деятельность,59375.25,8.32063723571684,7135.901772658486,18943.640481915725
2022,Производство кокса и нефтепродуктов,97720.3,8.32063723571684,11744.328857473763,34032.23697334002
2022,Химическое производство,75282.5,8.32063723571684,9047.68443417354,19068.242370636945
2022,Производство резиновых и пластмассовых изделий,51471.0,8.32063723571684,6185.944482600156,41874.71749503815
2022,Производство прочих неметаллических минеральных продуктов,54046.1,8.32063723571684,6495.427990539455,15104.517843872001
2022,Металлургическое производство и производство готовых металлических изделий,65714.4,8.32063723571684,7897.760488573754,58436.753682771414
2022,Производство машин и оборудования,63377.4,8.32063723571684,7616.892577403648,13673.672821723356
2022,"Производство электрооборудования, электронного и оптического оборудования",66964.55,8.32063723571684,8048.00739449986,13869.574680101714
2022,Производство транспортных средств и оборудования,63414.25,8.32063723571684,7621.321324740669,16988.083061707734
2022,Прочие производства,51865.06666666667,8.32063723571684,6233.304637297818,14212.922106800179
2022,"Производство и распределение электроэнергии, газа и воды",55763.7,8.32063723571684,6701.854487854721,21850.32565269568
2022,Строительство,60849.5,8.32063723571684,7313.081711915024,18273.559213681627
2022,"Оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования",57806.1,8.32063723571684,6947.316456949212,10968.427371042706
2022,Гостиницы и рестораны,37571.7,8.32063723571684,4515.483482289217,11352.616527933125
2022,Транспорт и связь,94093.95,8.32063723571684,11308.502862749023,22291.277892225764
2022,Из них связь,,8.32063723571684,,19930.764333673815
2022,Финансовая деятельность,146637.1,8.32063723571684,17623.301658982484,36219.00012039738
2022,"Операции с недвижимым имуществом, аренда и предоставление услуг",48531.3,8.32063723571684,5832.642215391444,17006.0811123008
2022,Государственное управление и обеспечение военной безопасности; социальное страхование,63505.2,8.32063723571684,7632.251977937468,18774.043466711846
2022,Образование,48400.2,8.32063723571684,5816.886210618485,8585.070132891868
2022,Здравоохранение и предоставление социальных услуг,55419.6,8.32063723571684,6660.499482192062,9229.538790666607
2022,"Предоставление прочих коммунальных, социальных и персональных услуг",57490.6,8.32063723571684,6909.3986880257335,10715.762430024683
2022,"Производство лекарственных средств и материалов, применяемых в медицинских целях",87532.3,8.32063723571684,10519.903406467753,74201.54867960123
2022,"Деятельность профессиональная,научная и техническая",100842.8,8.32063723571684,12119.600595868567,78190.89983950282
2022,Деятельность административная и сопутствующие дополнительные услуги,45067.3,8.32063723571684,5416.327947401178,37771.86544517946
2023,"Сельское хозяйство, охота и лесное хозяйство",51191.600000000006,8.938028518607029,5727.392779451335,7325.167964791834
2023,"Рыболовство, рыбоводство",143135.1,8.938028518607029,16014.169086843245,21159.778662685658
2023,Добыча топливно-энергетических полезных ископаемых,143775.8,8.938028518607029,16085.85156119049,115417.64161044401
2023,"Добыча полезных ископаемых, кроме топливно-энергетических",121607.6,8.938028518607029,13605.6401864057,44171.112317994564
2023,Обрабатывающие производства,71855.1,8.938028518607029,8039.256067533611,17587.541640773165
2023,"Производство пищевых продуктов, включая напитки, и табака",88918.0,8.938028518607029,9948.2788419048,79627.58869847306
2023,Текстильное и швейное производство,40237.100000000006,8.938028518607029,4501.78693391223,9033.208855577219
2023,"Производство кожи, изделий из кожи и производство обуви",44351.2,8.938028518607029,4962.0785957071475,29662.460149935712
2023,Обработка древесины и производство изделий из дерева,45866.7,8.938028518607029,5131.635002564102,12931.884689442166
